common_name,audio_index,occur,realised_occur,observer_id,n,checklist_label,previous_checklists,min,max,diff,ratio,new_diff
Acadian Flycatcher,8.102496105052042,0.025919294494555316,0.3894262347264785,new,86.05515832482124,low,0,0.0075400840241537405,0.00606673458698983,-0.0014733494371639106,0.804597742884003,-0.195402257115997
Acadian Flycatcher,8.102496105052042,0.025919294494555316,0.3894262347264785,new,86.05515832482124,medium,197,0.00989105567937883,0.009060597190218676,-8.304584891601543e-4,0.9160394485604283,-0.0839605514395717
Acadian Flycatcher,8.102496105052042,0.025919294494555316,0.3894262347264785,new,86.05515832482124,high,2598,0.011131209353536217,0.010853216858305441,-2.77992495230776e-4,0.9750258497166382,-0.024974150283361807
American Coot,4.194986189659894,0.028810116882384516,0.5164621931603672,new,86.05515832482124,low,0,0.03718048150914485,0.024061771335527688,-0.013118710173617164,0.647161369591448,-0.352838630408552
American Coot,4.194986189659894,0.028810116882384516,0.5164621931603672,new,86.05515832482124,medium,197,0.04466840490429161,0.0320196585401849,-0.012648746364106705,0.7168301310241895,-0.28316986897581053
American Coot,4.194986189659894,0.028810116882384516,0.5164621931603672,new,86.05515832482124,high,2598,0.0471101621501381,0.03571382329509583,-0.011396338855042272,0.7580917081388381,-0.24190829186116192
American Crow,6.547250562911586,0.670775120275011,0.9999524350234394,new,86.05515832482124,low,0,0.17577759330794573,0.2278872235962033,0.052109630288257575,1.2964520636994183,0.29645206369941834
American Crow,6.547250562911586,0.670775120275011,0.9999524350234394,new,86.05515832482124,medium,197,0.27913731739957887,0.3254052979346667,0.04626798053508785,1.1657534756230972,0.16575347562309717
American Crow,6.547250562911586,0.670775120275011,0.9999524350234394,new,86.05515832482124,high,2598,0.3258234980893936,0.3733955204882192,0.04757202239882563,1.1460054989213015,0.14600549892130155
American Goldfinch,5.847487567358421,0.7538987564088702,0.9999947607054481,new,86.05515832482124,low,0,0.2177513171911089,0.28484494406180344,0.06709362687069453,1.308120417989527,0.30812041798952694
American Goldfinch,5.847487567358421,0.7538987564088702,0.9999947607054481,new,86.05515832482124,medium,197,0.34021366718575613,0.4025038703006339,0.06229020311487776,1.1830914190783153,0.18309141907831528
American Goldfinch,5.847487567358421,0.7538987564088702,0.9999947607054481,new,86.05515832482124,high,2598,0.39543757703676297,0.45910607193757935,0.06366849490081639,1.161007700325094,0.16100770032509404
American Herring Gull,4.2322573302716995,0.058451510613368604,0.5871295166810119,new,86.05515832482124,low,0,0.04544320625385627,0.027663372237939625,-0.017779834015916644,0.6087460484941495,-0.3912539515058505
American Herring Gull,4.2322573302716995,0.058451510613368604,0.5871295166810119,new,86.05515832482124,medium,197,0.05508287661563832,0.03613096927255754,-0.018951907343080783,0.6559383149989622,-0.34406168500103784
American Herring Gull,4.2322573302716995,0.058451510613368604,0.5871295166810119,new,86.05515832482124,high,2598,0.05797350067971782,0.03982131368058975,-0.018152186999128073,0.6868882026046313,-0.31311179739536865
American Kestrel,4.276581921832324,0.02948291763480348,0.5298611550723025,new,86.05515832482124,low,0,0.029550769902103535,0.018605308965009296,-0.01094546093709424,0.6296048809098845,-0.37039511909011547
American Kestrel,4.276581921832324,0.02948291763480348,0.5298611550723025,new,86.05515832482124,medium,197,0.03541178769393093,0.024612710454462745,-0.010799077239468182,0.6950428672845853,-0.3049571327154147
American Kestrel,4.276581921832324,0.02948291763480348,0.5298611550723025,new,86.05515832482124,high,2598,0.0372649049290955,0.027359228302437297,-0.009905676626658207,0.7341821575687396,-0.2658178424312604
American Redstart,6.473887453845008,0.20682612084241925,0.9625706448938248,new,86.05515832482124,low,0,0.08103529971197806,0.08653202541996573,0.0054967257079876625,1.0678312504245009,0.06783125042450089
American Redstart,6.473887453845008,0.20682612084241925,0.9625706448938248,new,86.05515832482124,medium,197,0.1041000967642474,0.10502409941973873,9.240026554913211e-4,1.0088760979500708,0.008876097950070827
American Redstart,6.473887453845008,0.20682612084241925,0.9625706448938248,new,86.05515832482124,high,2598,0.10997933264154917,0.11194137833271847,0.001962045691169298,1.0178401309049956,0.017840130904995588
American Robin,5.844762008180297,0.8098133453385745,0.9999997145356889,new,86.05515832482124,low,0,0.34445848918629257,0.4918517907215149,0.14739330153522234,1.4278985891258091,0.42789858912580914
American Robin,5.844762008180297,0.8098133453385745,0.9999997145356889,new,86.05515832482124,medium,197,0.5153115538713685,0.6361457156509284,0.12083416177955986,1.2344875849799446,0.2344875849799446
American Robin,5.844762008180297,0.8098133453385745,0.9999997145356889,new,86.05515832482124,high,2598,0.5853822677477988,0.6956428000032032,0.11026053225540444,1.1883564609492205,0.18835646094922054
American Tree Sparrow,5.545366994528521,0.08148680562613554,0.8415274384672282,new,86.05515832482124,low,0,0.05208228479368015,0.04943347593773591,-0.0026488088559442416,0.9491418460914822,-0.05085815390851778
American Tree Sparrow,5.545366994528521,0.08148680562613554,0.8415274384672282,new,86.05515832482124,medium,197,0.062260285340372985,0.058463642026802286,-0.0037966433135706995,0.9390198214991355,-0.06098017850086446
American Tree Sparrow,5.545366994528521,0.08148680562613554,0.8415274384672282,new,86.05515832482124,high,2598,0.06390624883047191,0.061343287926138336,-0.0025629609043335763,0.9598949875600976,-0.04010501243990239
American Wigeon,4.416906412367535,0.01267153939534051,0.35852692874314457,new,86.05515832482124,low,0,0.019819820972124775,0.009655367652561262,-0.010164453319563513,0.487157157783659,-0.512842842216341
American Wigeon,4.416906412367535,0.01267153939534051,0.35852692874314457,new,86.05515832482124,medium,197,0.02348854997540933,0.01349822636530706,-0.009990323610102271,0.5746726119508715,-0.4253273880491285
