common_name,audio_index,occur,realised_occur,observer_id,n,checklist_label,previous_checklists,min,max,diff,ratio,new_diff
Acadian Flycatcher,8.102496105052042,0.025919294494555316,0.3894262347264785,new,86.05515832482125,low,0,0.005246106530981184,0.003975428373832065,-0.0012706781571491192,0.7577864365420229,-0.24221356345797707
Acadian Flycatcher,8.102496105052042,0.025919294494555316,0.3894262347264785,new,86.05515832482125,medium,197,0.008096335966252288,0.006405266954143933,-0.001691069012108355,0.7911315662841578,-0.20886843371584218
Acadian Flycatcher,8.102496105052042,0.025919294494555316,0.3894262347264785,new,86.05515832482125,high,2598,0.009774071684503331,0.007958180780939572,-0.001815890903563759,0.8142134657716056,-0.18578653422839442
American Coot,4.194986189659894,0.028810116882384516,0.5164621931603672,new,86.05515832482125,low,0,0.02787223228144572,0.01891861302219324,-0.00895361925925248,0.6787620320883728,-0.3212379679116272
American Coot,4.194986189659894,0.028810116882384516,0.5164621931603672,new,86.05515832482125,medium,197,0.03709181943302385,0.026247113391815118,-0.010844706041208733,0.707625395384261,-0.29237460461573905
American Coot,4.194986189659894,0.028810116882384516,0.5164621931603672,new,86.05515832482125,high,2598,0.04057925146815451,0.029861576816347095,-0.010717674651807417,0.7358828893081393,-0.2641171106918607
American Crow,6.547250562911586,0.670775120275011,0.9999524350234394,new,86.05515832482125,low,0,0.18156487378441047,0.22501080546846328,0.04344593168405281,1.2392859961208156,0.23928599612081558
American Crow,6.547250562911586,0.670775120275011,0.9999524350234394,new,86.05515832482125,medium,197,0.2778137393056595,0.3161553879735624,0.038341648667902906,1.1380120679550632,0.13801206795506316
American Crow,6.547250562911586,0.670775120275011,0.9999524350234394,new,86.05515832482125,high,2598,0.3230338301984087,0.3625090727341836,0.03947524253577489,1.122201574093738,0.12220157409373811
American Goldfinch,5.847487567358421,0.7538987564088702,0.9999947607054481,new,86.05515832482125,low,0,0.2213730131848588,0.2820632249007413,0.060690211715882514,1.274153614493212,0.27415361449321196
American Goldfinch,5.847487567358421,0.7538987564088702,0.9999947607054481,new,86.05515832482125,medium,197,0.33782020479105523,0.39350380438243415,0.05568359959137892,1.1648320580049962,0.16483205800499623
American Goldfinch,5.847487567358421,0.7538987564088702,0.9999947607054481,new,86.05515832482125,high,2598,0.3928850968691075,0.4488791578501592,0.055994060981051696,1.142520195923101,0.14252019592310106
American Herring Gull,4.2322573302716995,0.058451510613368604,0.5871295166810119,new,86.05515832482125,low,0,0.03641774619696354,0.022863259484478978,-0.013554486712484558,0.6278054484982183,-0.3721945515017817
American Herring Gull,4.2322573302716995,0.058451510613368604,0.5871295166810119,new,86.05515832482125,medium,197,0.047493382275519656,0.03065336750601732,-0.016840014769502337,0.6454239735588914,-0.35457602644110864
American Herring Gull,4.2322573302716995,0.058451510613368604,0.5871295166810119,new,86.05515832482125,high,2598,0.05121024498206752,0.03423281576050495,-0.01697742922156257,0.6684759225911218,-0.33152407740887824
American Kestrel,4.276581921832324,0.02948291763480348,0.5298611550723025,new,86.05515832482125,low,0,0.022277216701048617,0.014662266157886943,-0.007614950543161674,0.6581731620538023,-0.3418268379461977
American Kestrel,4.276581921832324,0.02948291763480348,0.5298611550723025,new,86.05515832482125,medium,197,0.029361819080644082,0.020153551759718676,-0.009208267320925407,0.6863863476702747,-0.31361365232972527
American Kestrel,4.276581921832324,0.02948291763480348,0.5298611550723025,new,86.05515832482125,high,2598,0.031954640269964384,0.02281769042620982,-0.009136949843754565,0.7140650069422688,-0.2859349930577312
American Redstart,6.473887453845008,0.20682612084241925,0.9625706448938248,new,86.05515832482125,low,0,0.08426910680745461,0.08428833442587438,1.9227618419770387e-5,1.00022816924432,2.2816924432000896e-4
American Redstart,6.473887453845008,0.20682612084241925,0.9625706448938248,new,86.05515832482125,medium,197,0.10173454642088407,0.09928532464092293,-0.0024492217799611388,0.9759253678703347,-0.02407463212966532
American Redstart,6.473887453845008,0.20682612084241925,0.9625706448938248,new,86.05515832482125,high,2598,0.10553705253495038,0.10503336952922138,-5.036830057290054e-4,0.9952274296691941,-0.004772570330805914
American Robin,5.844762008180297,0.8098133453385745,0.9999997145356889,new,86.05515832482125,low,0,0.3527564616545763,0.48987928450100193,0.13712282284642563,1.3887181037117275,0.38871810371172755
American Robin,5.844762008180297,0.8098133453385745,0.9999997145356889,new,86.05515832482125,medium,197,0.5138673700575307,0.6233651552842465,0.10949778522671583,1.2130856941051869,0.21308569410518685
American Robin,5.844762008180297,0.8098133453385745,0.9999997145356889,new,86.05515832482125,high,2598,0.5829711400624311,0.6805995957868561,0.09762845572442502,1.1674670477066325,0.16746704770663245
American Tree Sparrow,5.545366994528521,0.08148680562613554,0.8415274384672282,new,86.05515832482125,low,0,0.05068894787051749,0.04623596509573765,-0.004452982774779839,0.91215081468736,-0.08784918531263997
American Tree Sparrow,5.545366994528521,0.08148680562613554,0.8415274384672282,new,86.05515832482125,medium,197,0.05877487936155305,0.05355318779975695,-0.005221691561796096,0.9111577664043355,-0.08884223359566445
American Tree Sparrow,5.545366994528521,0.08148680562613554,0.8415274384672282,new,86.05515832482125,high,2598,0.05960331294117493,0.05590865168775465,-0.0036946612534202797,0.9380124850263492,-0.06198751497365085
American Wigeon,4.416906412367535,0.01267153939534051,0.35852692874314457,new,86.05515832482125,low,0,0.012523285679887208,0.006661514449716439,-0.005861771230170769,0.5319302473802895,-0.4680697526197105
American Wigeon,4.416906412367535,0.01267153939534051,0.35852692874314457,new,86.05515832482125,medium,197,0.017667020735497196,0.010097042243706852,-0.007569978491790344,0.5715192388617919,-0.4284807611382081
