V1,Value,Std.Error,t.value,p.value
(Intercept),-0.079038103689748,0.283020755244836,-0.279266104075561,0.780467996221887
mass,-0.0968023825472115,0.0215918329968291,-4.48328692433976,1.55508117267193e-05
crestshort,0.0426516084119759,0.0884144493907486,0.482405406648824,0.630299239211251
crestlong,0.0567299149302678,0.0618771411602307,0.916815383945517,0.360874306830261
contrast,0.000571225897442614,0.000779230837135158,0.733063772915772,0.464790531845879
audio_index,0.246897167497165,0.365824942799968,0.67490523092125,0.5008902112958
