V1,Value,Std.Error,t.value,p.value
(Intercept),0.134755144480987,0.408180262573409,0.330136356009503,0.741808684686231
mass,-0.145465605489909,0.0311403312257527,-4.67129281430412,7.14797117336569e-06
crestshort,0.0176190341311779,0.127513733529469,0.138173619762345,0.890309089896001
crestlong,0.128324651896355,0.08924090285967,1.43795779496027,0.152760081813117
contrast,0.00209833181255063,0.00112382799428251,1.86712897634328,0.0640522987369101
audio_index,-0.546418055387165,0.527602723266062,-1.03566193139533,0.302211473888653
