common_name,checklist_labels,diff,ratio,new_diff
Acadian Flycatcher,low,4.743408839961074e-4,1.1234342272194762,0.12343422721947617
Acadian Flycatcher,high,-0.004290672858047838,0.6342206757934615,-0.36577932420653847
American Coot,low,-0.026583321788902166,0.5015059248490872,-0.4984940751509128
American Coot,high,-0.005307720294838406,0.8641546011459476,-0.13584539885405245
American Crow,low,0.04408715162002674,1.1688594281997784,0.1688594281997784
American Crow,high,0.05959726701211426,1.1507996414150412,0.1507996414150412
American Goldfinch,low,0.03234700019328829,1.0884531252180127,0.08845312521801274
American Goldfinch,high,0.090930520293448,1.2102817434536302,0.21028174345363015
American Herring Gull,low,-0.01223835379775377,0.5984627464029424,-0.4015372535970576
American Herring Gull,high,-0.02157087829670357,0.5566247478231104,-0.44337525217688956
American Kestrel,low,-0.012725658210873902,0.430196652229287,-0.569803347770713
American Kestrel,high,-0.004112488135303415,0.7899890552736485,-0.2100109447263515
American Redstart,low,0.010112746418155405,1.1333660620700023,0.13336606207000234
American Redstart,high,0.016066731190901767,1.1420039144104777,0.14200391441047766
American Robin,low,0.12249749467407367,1.215255660408607,0.2152556604086071
American Robin,high,0.0939175105268708,1.148391617406554,0.14839161740655404
Acadian Flycatcher,low,4.7432267752589574e-4,1.1234297548354324,0.12342975483543239
Acadian Flycatcher,high,-0.004290587559609889,0.6342259537651175,-0.3657740462348825
American Coot,low,-0.026583299096514783,0.5015059800254327,-0.4984940199745673
American Coot,high,-0.00530766257412086,0.8641560338661693,-0.13584396613383065
American Crow,low,0.044087034972161376,1.16885891559218,0.16885891559218003
American Crow,high,0.05959728411030202,1.1507996885375444,0.15079968853754444
American Goldfinch,low,0.03235524687367558,1.0884770898763831,0.08847708987638314
American Goldfinch,high,0.09092920755090739,1.2102782917765311,0.21027829177653112
American Herring Gull,low,-0.0122386657741269,0.5984541739860918,-0.4015458260139082
American Herring Gull,high,-0.021570827222186586,0.5566260976758635,-0.44337390232413654
American Kestrel,low,-0.01272556187798972,0.43019867127786066,-0.5698013287221393
American Kestrel,high,-0.004112510641735401,0.7899879460823782,-0.2100120539176218
American Redstart,low,0.010112784084395435,1.1333662986246462,0.13336629862464622
American Redstart,high,0.016066796973007294,1.1420045331763347,0.14200453317633466
American Robin,low,0.12140488665424376,1.2129050017350917,0.21290500173509175
American Robin,high,0.09398392390952626,1.1485122491630053,0.14851224916300532
American Tree Sparrow,low,-0.008892068423760356,0.7643493307992091,-0.23565066920079092
American Tree Sparrow,high,0.0048909257816341645,1.1565025280314662,0.15650252803146625
American Wigeon,low,-0.014115450661950309,0.3113966328293929,-0.6886033671706071
American Wigeon,high,-0.011866873540480372,0.4382045472107803,-0.5617954527892197
Bald Eagle,low,-0.01762715218738138,0.8052281713279728,-0.19477182867202725
Bald Eagle,high,-0.023767026136570904,0.7634156802388727,-0.23658431976112726
Baltimore Oriole,low,0.006164715950994604,1.0345743495199147,0.03457434951991467
Baltimore Oriole,high,0.020665905857810585,1.1003093554628163,0.10030935546281627
Bank Swallow,low,-0.006337578566025674,0.6488632471547747,-0.3511367528452253
Bank Swallow,high,-0.014017019075575255,0.4533506369203179,-0.546649363079682
Barn Swallow,low,0.016542646669249206,1.1370034957184754,0.13700349571847537
Barn Swallow,high,-0.03254355780300475,0.8517988448166329,-0.14820115518336707
Belted Kingfisher,low,0.010671358629609502,1.1990740141872072,0.19907401418720716
Belted Kingfisher,high,-5.083679039922101e-4,0.9934779622748373,-0.006522037725162688
Black-and-white Warbler,low,-0.005795226599372778,0.822324077056191,-0.17767592294380896
Black-and-white Warbler,high,-0.0035462931957642857,0.906428182010576,-0.09357181798942404
Blue Jay,low,0.0528419420017921,1.1461793246074325,0.14617932460743255
Blue Jay,high,0.09222897652096412,1.2193916583243598,0.2193916583243598
Blue-gray Gnatcatcher,low,0.016442803335933925,1.2801104068768712,0.28011040687687117
Blue-gray Gnatcatcher,high,-0.006474347459265117,0.9329053162536781,-0.06709468374632188
Blue-headed Vireo,low,-0.005033781571295667,0.5134299210393614,-0.48657007896063864
Blue-headed Vireo,high,-0.001993548656968885,0.8206750956636224,-0.1793249043363776
Blue-winged Teal,low,-0.028518657112975666,0.6206672904518119,-0.3793327095481881
Blue-winged Teal,high,-0.01546561836709251,0.8105195764438176,-0.18948042355618244
